@relation training_step_1

@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute MAX_LOC_ADDED numeric
@attribute TOTAL_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute AVG_LOC_TOUCHED numeric
@attribute BUGGY {false,true}

@data
346,333,4,235,58.75,2,137,98,94,83,false
927,436,5,340,68,2,252,96,64,87,false
8048,921,14,701,50.071429,3,275,220,81,65,true
154,69,3,40,13.333333,3,29,29,29,23,true
487,42,4,27,6.75,2,12,15,12,10,false
3114,308,9,146,16.222222,3,64,162,104,34,true
499,92,5,86,17.2,3,76,6,2,18,true
3040,155,7,85,12.142857,3,42,70,26,22,true
452,54,5,35,7,3,15,19,14,10,true
374,20,3,13,4.333333,3,12,7,6,6,true
83,0,1,0,0,1,0,0,0,0,false
142,275,5,143,28.6,3,113,132,113,55,true
782,40,4,31,7.75,3,12,9,8,10,true
1544,1122,9,630,70,3,401,492,401,124,true
2309,1134,6,931,155.166667,2,714,203,121,189,true
489,15,4,8,2,2,4,7,4,3,true
50,6,2,3,1.5,2,3,3,3,3,false
536,45,5,23,4.6,3,16,22,16,9,true
18,10,3,5,1.666667,3,4,5,4,3,true
623,96,8,43,5.375,3,26,53,26,12,true
97,23,4,12,3,3,7,11,7,5,false
118,99,3,50,16.666667,2,46,49,46,33,false
4737,1615,12,915,76.25,3,520,700,520,134,true
877,130,7,90,12.857143,3,32,40,16,18,true
841,155,9,92,10.222222,3,28,63,17,17,true
640,74,6,46,7.666667,3,17,28,9,12,true
144,18,4,9,2.25,3,7,9,7,4,false
363,61,4,44,11,3,30,17,11,15,true
437,43,4,23,5.75,3,17,20,17,10,true
382,151,6,127,21.166667,2,101,24,10,25,true
41,78,1,78,78,1,78,0,0,78,true
82,2,2,1,0.5,2,1,1,1,1,true
94,2,2,1,0.5,2,1,1,1,1,false
55,107,2,106,53,1,61,1,1,53,true
236,232,4,224,56,2,216,8,6,58,true
568,417,4,397,99.25,2,377,20,11,104,true
283,257,2,255,127.5,1,251,2,2,128,true
112,193,1,193,193,1,193,0,0,193,true
321,514,1,514,514,1,514,0,0,514,true
109,204,1,204,204,1,204,0,0,204,false
20,144,1,144,144,1,144,0,0,144,true
55,98,1,98,98,1,98,0,0,98,false
863,47,7,25,3.571429,3,9,22,9,6,true
134,95,4,87,21.75,3,71,8,5,23,true
2450,376,11,280,25.454545,3,111,96,48,34,true
87,89,3,82,27.333333,3,75,7,7,29,false
2863,58,8,35,4.375,3,8,23,8,7,false
3354,190,9,110,12.222222,3,24,80,24,21,true
106,0,1,0,0,1,0,0,0,0,true
310,21,3,11,3.666667,2,8,10,8,7,false
250,21,3,11,3.666667,2,8,10,8,7,false
1585,813,6,71,11.833333,3,51,742,688,135,false
937,441,6,233,38.833333,3,101,208,101,73,true
66,10,3,5,1.666667,3,4,5,4,3,false
20,10,2,5,2.5,2,5,5,5,5,true
82,8,2,4,2,2,4,4,4,4,false
43,21,3,11,3.666667,2,7,10,7,7,false
103,33,3,4,1.333333,3,4,29,25,11,true
37,94,1,94,94,1,94,0,0,94,true
569,321,3,291,97,1,246,30,28,107,true
57,90,1,90,90,1,90,0,0,90,true
119,77,4,74,18.5,2,61,3,2,19,false
1828,275,5,243,48.6,2,208,32,14,55,true
353,19,4,13,3.25,2,8,6,2,4,true
654,351,3,348,116,1,343,3,2,117,true
17,47,1,47,47,1,47,0,0,47,false
17,47,1,47,47,1,47,0,0,47,false
17,47,1,47,47,1,47,0,0,47,false
16,46,1,46,46,1,46,0,0,46,false
17,47,1,47,47,1,47,0,0,47,true
93,136,1,136,136,1,136,0,0,136,true
188,261,1,261,261,1,261,0,0,261,true
150,115,2,114,57,1,113,1,1,57,true
687,42,4,22,5.5,3,16,20,16,10,false
1607,219,12,150,12.5,3,37,69,36,18,true
1164,76,6,43,7.166667,3,20,33,19,12,true
1210,68,6,34,5.666667,3,24,34,24,11,true
413,275,3,247,82.333333,2,222,28,26,91,true
7080,634,10,477,47.7,3,166,157,89,63,true
176,106,3,99,33,3,90,7,6,35,true
94,17,3,9,3,2,6,8,6,5,true
877,40,6,25,4.166667,3,9,15,6,6,true
183,126,3,122,40.666667,2,116,4,3,42,false
23,55,1,55,55,1,55,0,0,55,true
316,37,4,14,3.5,3,8,23,13,9,true
195,64,4,45,11.25,3,25,19,17,16,true
376,25,5,14,2.8,3,7,11,7,5,false
99,13,3,8,2.666667,3,4,5,4,4,false
28,72,1,72,72,1,72,0,0,72,false
6,42,1,42,42,1,42,0,0,42,false
21,64,3,56,18.666667,2,48,8,5,21,false
20,71,2,67,33.5,2,63,4,4,35,false
66,277,2,257,128.5,2,237,20,20,138,true
276,145,3,139,46.333333,2,133,6,5,48,true
366,163,4,150,37.5,2,136,13,10,40,true
373,185,3,181,60.333333,2,176,4,2,61,true
48,48,2,47,23.5,2,46,1,1,24,false
382,146,5,137,27.4,3,127,9,5,29,false
202,155,3,152,50.666667,2,148,3,2,51,false
48,60,2,59,29.5,2,58,1,1,30,false
164,155,2,152,76,2,149,3,3,77,true
82,82,2,78,39,2,74,4,4,41,false
10,37,1,37,37,1,37,0,0,37,false
20,42,2,40,20,2,38,2,2,21,false
20,41,2,40,20,2,39,1,1,20,false
178,118,4,107,26.75,2,95,11,5,29,true
118,94,3,91,30.333333,2,87,3,2,31,false
150,85,4,78,19.5,2,70,7,3,21,false
238,132,4,123,30.75,2,113,9,4,33,true
980,492,6,414,69,3,329,78,35,82,true
182,102,4,93,23.25,2,83,9,5,25,false
87,68,3,63,21,2,58,5,3,22,false
250,137,4,130,32.5,2,122,7,4,34,true
186,19,1,14,14,1,14,5,5,19,true
597,255,5,243,48.6,2,224,12,6,51,true
1462,704,4,645,161.25,2,585,59,48,176,true
1007,414,5,390,78,2,365,24,14,82,true
198,117,4,108,27,2,98,9,4,29,true
17,41,1,41,41,1,41,0,0,41,false
67,92,2,79,39.5,2,65,13,13,46,false
51,56,3,55,18.333333,3,45,1,1,18,false
12,55,2,51,25.5,2,47,4,4,27,false
372,223,4,203,50.75,3,185,20,16,55,false
26,49,1,49,49,1,49,0,0,49,false
24,50,1,50,50,1,50,0,0,50,false
121,102,2,100,50,2,97,2,2,51,false
72,138,1,138,138,1,138,0,0,138,true
18,43,1,43,43,1,43,0,0,43,false
18,42,1,42,42,1,42,0,0,42,false
29,56,1,56,56,1,56,0,0,56,true
30,53,2,52,26,2,51,1,1,26,false
18,41,1,41,41,1,41,0,0,41,false
144,118,2,111,55.5,2,104,7,7,59,false
29,54,1,54,54,1,54,0,0,54,false
228,164,2,163,81.5,2,162,1,1,82,true
11130,18077,2,12222,6111,2,6127,5855,5855,9038,true
180,157,2,155,77.5,2,153,2,2,78,false
17,43,1,43,43,1,43,0,0,43,true
28,43,2,42,21,2,41,1,1,21,false
181,205,3,155,51.666667,2,104,50,48,68,true
328,191,5,148,29.6,3,103,43,39,38,true
209,160,4,126,31.5,3,91,34,31,40,true
205,201,3,151,50.333333,2,100,50,48,67,false
18,45,1,45,45,1,45,0,0,45,true
394,291,2,290,145,2,289,1,1,145,true
21,38,2,35,17.5,2,31,3,3,19,true
74,111,1,111,111,1,111,0,0,111,false
20,37,2,36,18,2,35,1,1,18,false
47,81,1,81,81,1,81,0,0,81,true
6,27,1,27,27,1,27,0,0,27,false
6,28,1,28,28,1,28,0,0,28,false
18,31,2,30,15,2,29,1,1,15,true
1226,634,4,600,150,3,561,34,32,158,true
74,96,2,80,40,2,64,16,16,48,false
10,31,2,30,15,2,29,1,1,15,false
72,66,2,65,32.5,2,64,1,1,33,false
12,43,2,40,20,2,37,3,3,21,false
82,90,2,79,39.5,2,68,11,11,45,true
298,176,3,165,55,2,153,11,9,58,true
90,74,2,73,36.5,2,72,1,1,37,true
1586,415,6,400,66.666667,3,364,15,8,69,true
74,80,2,78,39,2,76,2,2,40,false
322,167,3,163,54.333333,2,158,4,2,55,false
1477,1035,3,886,295.333333,2,736,149,144,345,true
94,78,2,76,38,2,74,2,2,39,false
160,100,3,97,32.333333,2,93,3,2,33,false
4,22,1,22,22,1,22,0,0,22,false
877,451,3,439,146.333333,2,426,12,10,150,true
32,62,1,62,62,1,62,0,0,62,false
56,60,2,59,29.5,2,58,1,1,30,false
24,101,2,96,48,2,91,5,5,50,false
8,29,2,28,14,2,27,1,1,14,false
74,81,2,79,39.5,2,77,2,2,40,false
1009,780,3,742,247.333333,2,703,38,36,260,true
20,71,2,67,33.5,2,63,4,4,35,false
15,37,1,37,37,1,37,0,0,37,false
54,66,2,65,32.5,2,64,1,1,33,false
158,130,2,127,63.5,2,124,3,3,65,false
454,174,4,167,41.75,2,159,7,3,43,true
26,46,2,41,20.5,2,36,5,5,23,true
61,62,2,60,30,2,57,2,2,31,false
35,62,1,62,62,1,62,0,0,62,false
294,154,4,142,35.5,2,129,12,8,38,true
83,78,2,76,38,2,73,2,2,39,true
163,89,3,86,28.666667,2,82,3,2,29,false
41,74,1,74,74,1,74,0,0,74,false
28,52,2,50,25,2,48,2,2,26,false
50,62,2,61,30.5,2,60,1,1,31,false
111,82,3,76,25.333333,2,70,6,4,27,false
554,221,4,202,50.5,2,180,19,12,55,true
24,53,1,53,53,1,53,0,0,53,false
1216,492,4,472,118,2,450,20,17,123,true
16,39,1,39,39,1,39,0,0,39,false
86,86,2,82,41,2,78,4,4,43,true
56,66,2,65,32.5,2,64,1,1,33,true
10,33,2,32,16,2,31,1,1,16,false
14,65,2,61,30.5,2,57,4,4,32,false
26,118,2,111,55.5,2,104,7,7,59,true
11,32,1,32,32,1,32,0,0,32,true
532,331,3,279,93,2,226,52,50,110,false
474,219,4,208,52,3,187,11,6,54,true
24,87,2,81,40.5,2,75,6,6,43,true
7,28,1,28,28,1,28,0,0,28,false
52,56,2,54,27,2,52,2,2,28,true
973,583,3,506,168.666667,2,428,77,75,194,true
124,164,2,134,67,2,104,30,30,82,false
13,35,1,35,35,1,35,0,0,35,true
134,100,2,99,49.5,2,98,1,1,50,false
130,109,3,94,31.333333,2,78,15,13,36,false
67,62,2,60,30,2,57,2,2,31,false
25,51,1,51,51,1,51,0,0,51,false
30,57,1,57,57,1,57,0,0,57,false
543,270,3,250,83.333333,2,230,20,13,90,true
226,142,3,138,46,2,133,4,2,47,true
526,238,4,230,57.5,2,221,8,4,59,true
63,66,2,64,32,2,61,2,2,33,true
232,137,3,133,44.333333,2,128,4,2,45,true
74,71,2,68,34,2,65,3,3,35,true
73,116,1,116,116,1,116,0,0,116,false
224,188,2,177,88.5,2,166,11,11,94,false
1606,769,3,731,243.666667,2,692,38,22,256,true
174,109,3,101,33.666667,2,93,8,5,36,true
606,292,3,276,92,2,260,16,13,97,true
122,170,1,170,170,1,170,0,0,170,false
649,204,8,186,23.25,3,126,18,9,25,true
148,116,2,114,57,2,112,2,2,58,false
44,62,2,55,27.5,2,48,7,7,31,false
88,82,2,79,39.5,2,76,3,3,41,false
172,133,2,131,65.5,2,129,2,2,66,true
