"VERSION","FILE_NAME","LOC","LOC_TOUCHED","NUMBER_OF_REVISIONS","LOC_ADDED","AVG_LOC_ADDED","NUMBER_OF_AUTHORS","MAX_LOC_ADDED","TOTAL_LOC_REMOVED","MAX_LOC_REMOVED","AVG_LOC_TOUCHED","BUGGY"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java","346","333","4","235","58.75","2","137","98","94","83","false"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java","927","436","5","340","68.0","2","252","96","64","87","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java","8048","921","14","701","50.07142857142857","3","275","220","81","65","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java","154","69","3","40","13.333333333333334","3","29","29","29","23","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java","487","42","4","27","6.75","2","12","15","12","10","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java","3114","308","9","146","16.22222222222222","3","64","162","104","34","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java","499","92","5","86","17.2","3","76","6","2","18","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java","3040","155","7","85","12.142857142857142","3","42","70","26","22","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java","452","54","5","35","7.0","3","15","19","14","10","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java","374","20","3","13","4.333333333333333","3","12","7","6","6","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java","83","0","1","0","0.0","1","0","0","0","0","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java","142","275","5","143","28.6","3","113","132","113","55","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java","782","40","4","31","7.75","3","12","9","8","10","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java","1544","1122","9","630","70.0","3","401","492","401","124","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java","2309","1134","6","931","155.16666666666666","2","714","203","121","189","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java","489","15","4","8","2.0","2","4","7","4","3","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java","50","6","2","3","1.5","2","3","3","3","3","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java","536","45","5","23","4.6","3","16","22","16","9","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java","18","10","3","5","1.6666666666666667","3","4","5","4","3","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java","623","96","8","43","5.375","3","26","53","26","12","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java","97","23","4","12","3.0","3","7","11","7","5","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java","118","99","3","50","16.666666666666668","2","46","49","46","33","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java","4737","1615","12","915","76.25","3","520","700","520","134","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java","877","130","7","90","12.857142857142858","3","32","40","16","18","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java","841","155","9","92","10.222222222222221","3","28","63","17","17","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java","640","74","6","46","7.666666666666667","3","17","28","9","12","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java","144","18","4","9","2.25","3","7","9","7","4","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java","363","61","4","44","11.0","3","30","17","11","15","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java","437","43","4","23","5.75","3","17","20","17","10","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java","382","151","6","127","21.166666666666668","2","101","24","10","25","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java","41","78","1","78","78.0","1","78","0","0","78","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java","82","2","2","1","0.5","2","1","1","1","1","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java","94","2","2","1","0.5","2","1","1","1","1","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java","55","107","2","106","53.0","1","61","1","1","53","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java","236","232","4","224","56.0","2","216","8","6","58","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java","568","417","4","397","99.25","2","377","20","11","104","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java","283","257","2","255","127.5","1","251","2","2","128","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java","112","193","1","193","193.0","1","193","0","0","193","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java","321","514","1","514","514.0","1","514","0","0","514","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java","109","204","1","204","204.0","1","204","0","0","204","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java","20","144","1","144","144.0","1","144","0","0","144","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java","55","98","1","98","98.0","1","98","0","0","98","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java","863","47","7","25","3.5714285714285716","3","9","22","9","6","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java","134","95","4","87","21.75","3","71","8","5","23","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java","2450","376","11","280","25.454545454545453","3","111","96","48","34","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java","87","89","3","82","27.333333333333332","3","75","7","7","29","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java","2863","58","8","35","4.375","3","8","23","8","7","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java","3354","190","9","110","12.222222222222221","3","24","80","24","21","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java","106","0","1","0","0.0","1","0","0","0","0","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java","310","21","3","11","3.6666666666666665","2","8","10","8","7","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java","250","21","3","11","3.6666666666666665","2","8","10","8","7","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java","1585","813","6","71","11.833333333333334","3","51","742","688","135","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java","937","441","6","233","38.833333333333336","3","101","208","101","73","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java","66","10","3","5","1.6666666666666667","3","4","5","4","3","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java","20","10","2","5","2.5","2","5","5","5","5","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java","82","8","2","4","2.0","2","4","4","4","4","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java","43","21","3","11","3.6666666666666665","2","7","10","7","7","false"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java","103","33","3","4","1.3333333333333333","3","4","29","25","11","true"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java","37","94","1","94","94.0","1","94","0","0","94","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java","569","321","3","291","97.0","1","246","30","28","107","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java","57","90","1","90","90.0","1","90","0","0","90","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java","119","77","4","74","18.5","2","61","3","2","19","false"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java","1828","275","5","243","48.6","2","208","32","14","55","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java","353","19","4","13","3.25","2","8","6","2","4","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java","654","351","3","348","116.0","1","343","3","2","117","true"
