"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","RandomForest","1","NONE","NO_SAMPLING","NONE","0","0","0,5","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","NaiveBayes","1","NONE","NO_SAMPLING","NONE","0","0","0,0438","-0,01094","0","0.0","485.0","63.0","3.0","74,21619"
"SYNCOPE","IBk","1","NONE","NO_SAMPLING","NONE","0","0","0,33637","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","RandomForest","1","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,5","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","NaiveBayes","1","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,02494","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","IBk","1","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,98449","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","RandomForest","1","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,5","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","NaiveBayes","1","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,02494","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","IBk","1","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,98449","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","RandomForest","1","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,5","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","NaiveBayes","1","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,01582","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","IBk","1","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,96016","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","RandomForest","1","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,5","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","NaiveBayes","1","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,02494","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","IBk","1","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,98449","0","0","0.0","0.0","548.0","3.0","74,21619"
"SYNCOPE","RandomForest","2","NONE","NO_SAMPLING","NONE","0","0","0,73457","0","0","0.0","0.0","551.0","2.0","79,44238"
"SYNCOPE","NaiveBayes","2","NONE","NO_SAMPLING","NONE","0","0","0,22595","-0,00709","0","0.0","72.0","479.0","2.0","79,44238"
"SYNCOPE","IBk","2","NONE","NO_SAMPLING","NONE","0","0","0,67468","0","0","0.0","0.0","551.0","2.0","79,44238"
"SYNCOPE","RandomForest","2","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,5","0","0","0.0","0.0","551.0","2.0","79,44238"
"SYNCOPE","NaiveBayes","2","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,21642","0","0","0.0","0.0","551.0","2.0","79,44238"
"SYNCOPE","IBk","2","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,69964","0","0","0.0","0.0","551.0","2.0","79,44238"
"SYNCOPE","RandomForest","2","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,72323","-0,00659","0","0.0","19.0","532.0","2.0","79,44238"
